epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,29.9796,2.29044,8.16853,2.14989,0.00214,0.32406,0.03862,0.02064,2.33742,6.43743,2.10868,0.000362104,0.000362104,0.000362104
2,54.7736,2.07541,6.25202,1.89026,0.69846,0.02353,0.04791,0.02158,2.57385,5.60691,2.95612,0.000717935,0.000717935,0.000717935
3,79.1398,2.13434,5.43985,1.88352,0.40613,0.29447,0.19799,0.05839,2.40305,6.41301,2.46524,0.0010591,0.0010591,0.0010591
4,103.811,2.09251,5.04118,1.87873,0.84849,0.03636,0.0884,0.03836,2.44052,9.25908,2.30628,0.00104501,0.00104501,0.00104501
5,128.829,2.05402,4.40575,1.82676,0.28109,0.28382,0.09965,0.04286,2.45422,5.55095,2.37382,0.00102301,0.00102301,0.00102301
6,154.198,1.98158,3.88462,1.78535,0.75766,0.1738,0.18612,0.08286,2.37393,3.21121,2.19541,0.00100101,0.00100101,0.00100101
7,180.667,1.99128,3.44066,1.72957,0.70736,0.17059,0.26438,0.09541,2.26576,3.14697,2.1803,0.000979013,0.000979013,0.000979013
8,206.539,1.92547,3.14741,1.7463,0.68834,0.18503,0.1909,0.06309,2.41563,2.99637,2.21805,0.000957015,0.000957015,0.000957015
9,232.537,1.88344,2.90671,1.6984,0.71893,0.39397,0.3832,0.12834,2.34258,2.45404,2.1574,0.000935018,0.000935018,0.000935018
10,258.319,1.83172,2.60556,1.67504,0.6028,0.25185,0.30903,0.12394,2.2971,2.46064,2.29233,0.00091302,0.00091302,0.00091302
11,283.959,1.81571,2.43576,1.66972,0.4432,0.38753,0.38948,0.1626,2.01367,2.16545,1.96566,0.000891022,0.000891022,0.000891022
12,310.059,1.82317,2.37205,1.65422,0.7626,0.27736,0.35271,0.12133,2.1359,2.54412,2.01886,0.000869024,0.000869024,0.000869024
13,336.343,1.73246,2.25799,1.62763,0.53028,0.3127,0.33316,0.1223,2.236,2.54803,2.21915,0.000847026,0.000847026,0.000847026
14,362.371,1.72853,2.15589,1.61825,0.90108,0.23053,0.36342,0.13334,2.14304,2.40692,2.12132,0.000825029,0.000825029,0.000825029
15,388.448,1.69049,1.97988,1.57013,0.52723,0.38324,0.3611,0.15356,2.20682,2.47868,2.07232,0.000803031,0.000803031,0.000803031
16,414.675,1.63981,1.9052,1.53731,0.75663,0.31996,0.43023,0.20206,2.06567,2.44347,2.04208,0.000781033,0.000781033,0.000781033
17,440.739,1.60159,1.79433,1.49759,0.70771,0.32528,0.38132,0.18189,2.13925,2.46363,2.16505,0.000759035,0.000759035,0.000759035
18,466.851,1.50727,1.6966,1.46189,0.70451,0.37879,0.48196,0.19418,2.21665,2.2918,2.20088,0.000737037,0.000737037,0.000737037
19,492.732,1.53768,1.7134,1.47037,0.34126,0.51838,0.43215,0.21956,1.94108,2.0496,1.95405,0.00071504,0.00071504,0.00071504
20,518.851,1.47264,1.54268,1.43803,0.44553,0.52381,0.54326,0.2388,2.06773,1.92916,2.06555,0.000693042,0.000693042,0.000693042
21,544.905,1.51291,1.57472,1.45315,0.76471,0.40094,0.47828,0.21626,2.1124,2.10498,2.18199,0.000671044,0.000671044,0.000671044
22,570.863,1.47064,1.56738,1.44338,0.68722,0.41235,0.47812,0.23253,2.05182,2.01901,2.18426,0.000649046,0.000649046,0.000649046
23,596.601,1.43484,1.45646,1.41516,0.95769,0.35577,0.49392,0.19195,2.14101,2.1942,2.157,0.000627048,0.000627048,0.000627048
24,622.768,1.42867,1.40024,1.39063,0.79554,0.44902,0.50803,0.25339,2.03456,1.97362,2.03505,0.000605051,0.000605051,0.000605051
25,648.964,1.35696,1.31904,1.34873,0.55681,0.46779,0.49733,0.21628,2.11166,1.98853,2.14395,0.000583053,0.000583053,0.000583053
26,674.888,1.34378,1.28256,1.36834,0.47098,0.43491,0.52447,0.25258,1.98439,2.06898,1.96477,0.000561055,0.000561055,0.000561055
27,700.951,1.37319,1.34874,1.36049,0.98649,0.31639,0.38132,0.20483,2.07929,2.11544,2.11692,0.000539057,0.000539057,0.000539057
28,727.667,1.29253,1.3094,1.32456,0.46873,0.52509,0.51054,0.24279,2.10416,1.89522,2.08556,0.000517059,0.000517059,0.000517059
29,753.363,1.31364,1.23766,1.3227,0.65154,0.53695,0.51249,0.25658,2.14027,1.99223,2.25303,0.000495062,0.000495062,0.000495062
30,779.613,1.25363,1.15738,1.30765,0.60512,0.46493,0.49055,0.22704,2.10085,1.99536,2.23927,0.000473064,0.000473064,0.000473064
31,805.504,1.27841,1.18933,1.31455,0.58914,0.47653,0.52456,0.25471,2.07789,1.86933,2.1165,0.000451066,0.000451066,0.000451066
32,831.879,1.26544,1.1871,1.28827,0.54183,0.47919,0.49382,0.22586,2.17399,1.97013,2.27733,0.000429068,0.000429068,0.000429068
33,858.45,1.17758,1.06558,1.25001,0.59207,0.5616,0.56216,0.25389,2.14068,1.99255,2.20351,0.00040707,0.00040707,0.00040707
34,884.424,1.15201,1.05331,1.2447,0.53567,0.41156,0.45908,0.22041,2.1657,2.12143,2.21008,0.000385073,0.000385073,0.000385073
35,910.554,1.14113,1.00938,1.21212,0.4993,0.52443,0.54494,0.24636,2.13877,2.02025,2.21875,0.000363075,0.000363075,0.000363075
36,935.979,1.15006,1.01929,1.22165,0.69074,0.51401,0.56286,0.25375,2.18187,2.16078,2.26665,0.000341077,0.000341077,0.000341077
37,962.079,1.12779,1.04102,1.22083,0.94592,0.41407,0.55254,0.25136,2.04307,1.96157,2.15349,0.000319079,0.000319079,0.000319079
38,990.207,1.09781,0.98917,1.19254,0.9212,0.40258,0.5367,0.25456,2.0931,1.95009,2.22423,0.000297081,0.000297081,0.000297081
39,1018.71,1.07398,0.92019,1.19279,0.60477,0.50527,0.52892,0.24581,2.10328,1.93802,2.2292,0.000275084,0.000275084,0.000275084
