epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,13.1482,2.34573,6.08215,2.00674,0.00129,0.29412,0.02316,0.00902,2.38983,5.08951,2.09081,0.000362104,0.000362104,0.000362104
2,25.5862,2.07615,4.6294,1.72879,0.76268,0.10109,0.16229,0.06092,2.21818,4.30919,1.84587,0.000717935,0.000717935,0.000717935
3,45.1429,2.05753,4.10054,1.67701,0.71202,0.07112,0.08224,0.03841,2.38973,5.79276,2.12828,0.0010591,0.0010591,0.0010591
4,62.8617,2.08797,3.79877,1.75211,0.3605,0.24135,0.13414,0.04427,2.32044,2.95087,1.9816,0.00104501,0.00104501,0.00104501
5,80.1743,2.07852,3.40306,1.7262,0.38454,0.28227,0.162,0.06533,2.19296,2.78414,1.93809,0.00102301,0.00102301,0.00102301
6,103.562,2.01274,3.06201,1.68567,0.62681,0.18556,0.30994,0.12539,2.28182,2.75153,1.98573,0.00100101,0.00100101,0.00100101
7,124.561,1.96188,2.75007,1.61639,0.59654,0.24938,0.35114,0.14085,2.17235,3.43114,1.98121,0.000979013,0.000979013,0.000979013
8,145.213,1.9152,2.53314,1.62384,0.50601,0.33333,0.37616,0.14164,2.147,2.31136,1.91052,0.000957015,0.000957015,0.000957015
9,165.437,1.88117,2.36607,1.57253,0.4409,0.29394,0.32231,0.11946,2.18862,2.29321,1.91067,0.000935018,0.000935018,0.000935018
10,185.929,1.81923,2.1304,1.55224,0.54193,0.30276,0.34938,0.12305,2.17309,2.68479,1.91306,0.00091302,0.00091302,0.00091302
11,204.386,1.73517,2.07911,1.47805,0.35436,0.44636,0.40026,0.18292,2.13908,2.00629,1.96895,0.000891022,0.000891022,0.000891022
12,218.112,1.74017,1.97402,1.4759,0.81146,0.29363,0.41303,0.1885,2.0104,2.13106,1.83982,0.000869024,0.000869024,0.000869024
13,234.522,1.69976,1.86475,1.47068,0.60467,0.31807,0.40912,0.19345,2.20978,1.87173,1.98366,0.000847026,0.000847026,0.000847026
14,254.242,1.66393,1.83576,1.44778,0.5749,0.36078,0.45381,0.19288,2.25111,2.11651,1.96699,0.000825029,0.000825029,0.000825029
15,275.032,1.64631,1.73285,1.42142,0.70987,0.42974,0.45881,0.22178,2.11132,1.81143,1.90121,0.000803031,0.000803031,0.000803031
16,294.796,1.63736,1.64469,1.39987,0.49795,0.41175,0.39197,0.19526,2.15934,2.15535,1.94234,0.000781033,0.000781033,0.000781033
17,314.442,1.55599,1.58641,1.37561,0.70726,0.43286,0.50292,0.23294,2.08785,1.79083,1.92452,0.000759035,0.000759035,0.000759035
18,329.525,1.56851,1.55137,1.37553,0.95396,0.33888,0.45523,0.20596,2.09868,2.10286,1.90791,0.000737037,0.000737037,0.000737037
